FILE, VIEW, XV, YV, LONG_GT, LAT_GT, LONG_CALC, LAT_CALC, ERR2LONG, ERR2LAT, ERR
vistas_00000NEW.cimgz, 2, 177, 87, 128, 93, 130, 90, 4, 9, 3.60555124
vistas_00000NEW.cimgz, 5, 250, 214, 114, 118, 111, 120, 9, 4, 3.60555124
vistas_00000NEW.cimgz, 9, 166, 111, 243, 83, 244, 83, 1, 0, 1.00000000
vistas_00000NEW.cimgz, 10, 147, 175, 235, 76, 235, 76, 0, 0, 0.00000000
vistas_00001NEW.cimgz, 3, 171, 128, 125, 99, 126, 99, 1, 0, 1.00000000
vistas_00001NEW.cimgz, 11, 125, 177, 259, 87, 259, 86, 0, 1, 1.00000000
vistas_00001NEW.cimgz, 5, 267, 161, 132, 145, 135, 148, 9, 9, 4.24264050
vistas_00001NEW.cimgz, 12, 61, 167, 259, 62, 273, 56, 196, 36, 15.23154640
vistas_00002NEW.cimgz, 2, 198, 124, 112, 94, 112, 92, 0, 4, 2.00000000
vistas_00002NEW.cimgz, 8, 199, 90, 226, 91, 230, 92, 16, 1, 4.12310553
vistas_00002NEW.cimgz, 10, 257, 259, 207, 104, 194, 112, 169, 64, 15.26433754
vistas_00002NEW.cimgz, 10, 198, 179, 227, 93, 226, 90, 1, 9, 3.16227770
vistas_00003.cimgz, 1, 143, 121, 68, 81, 68, 80, 0, 1, 1.00000000
vistas_00003.cimgz, 7, 136, 102, 212, 72, 212, 71, 0, 1, 1.00000000
vistas_00003.cimgz, 3, 171, 98, 112, 90, 105, 88, 49, 4, 7.28010988
vistas_00003.cimgz, 9, 147, 193, 211, 74, 212, 72, 1, 4, 2.23606801
vistas_00004.cimgz, 3, 132, 106, 137, 79, 138, 79, 1, 0, 1.00000000
vistas_00004.cimgz, 6, 139, 148, 166, 78, 163, 83, 9, 25, 5.83095169
vistas_00004.cimgz, 10, 121, 183, 265, 76, 267, 76, 4, 0, 2.00000000
vistas_00004.cimgz, 9, 132, 151, 268, 78, 264, 77, 16, 1, 4.12310553
vistas_00005NEW.cimgz, 5, 180, 172, 174, 96, 148, 90, 676, 36, 26.68332863
vistas_00005NEW.cimgz, 6, 225, 99, 174, 94, 189, 103, 225, 81, 17.49285507
vistas_00005NEW.cimgz, 9, 233, 64, 226, 115, 233, 119, 49, 16, 8.06225777
vistas_00005NEW.cimgz, 12, 158, 164, 274, 75, 274, 80, 0, 25, 5.00000000
vistas_00006NEW.cimgz, 2, 109, 186, 84, 69, 83, 69, 1, 0, 1.00000000
vistas_00006NEW.cimgz, 10, 142, 155, 229, 87, 230, 87, 1, 0, 1.00000000
vistas_00006NEW.cimgz, 3, 135, 171, 100, 82, 101, 82, 1, 0, 1.00000000
vistas_00006NEW.cimgz, 13, 129, 210, 233, 81, 234, 80, 1, 1, 1.41421354
vistas_00007.cimgz, 2, 127, 102, 111, 95, 110, 97, 1, 4, 2.23606801
vistas_00007.cimgz, 9, 124, 151, 241, 72, 241, 70, 0, 4, 2.00000000
vistas_00007.cimgz, 1, 125, 58, 109, 96, 110, 95, 1, 1, 1.41421354
vistas_00007.cimgz, 7, 109, 62, 242, 69, 239, 71, 9, 4, 3.60555124
vistas_00008.cimgz, 2, 168, 139, 101, 80, 101, 78, 0, 4, 2.00000000
vistas_00008.cimgz, 9, 172, 159, 244, 95, 241, 95, 9, 0, 3.00000000
vistas_00008.cimgz, 3, 163, 230, 82, 81, 74, 82, 64, 1, 8.06225777
vistas_00008.cimgz, 7, 155, 62, 241, 95, 236, 87, 25, 64, 9.43398094
vistas_00009NEW.cimgz, 1, 161, 41, 126, 96, 123, 91, 9, 25, 5.83095169
vistas_00009NEW.cimgz, 9, 164, 116, 254, 100, 252, 98, 4, 4, 2.82842708
vistas_00009NEW.cimgz, 8, 178, 150, 219, 108, 223, 106, 16, 4, 4.47213602
vistas_00009NEW.cimgz, 6, 178, 116, 184, 105, 190, 102, 36, 9, 6.70820379
vistas_00010.cimgz, 8, 170, 119, 218, 82, 217, 85, 1, 9, 3.16227770
vistas_00010.cimgz, 3, 156, 153, 103, 81, 103, 81, 0, 0, 0.00000000
vistas_00010.cimgz, 4, 196, 263, 82, 90, 73, 93, 81, 9, 9.48683262
vistas_00010.cimgz, 7, 187, 50, 216, 83, 210, 88, 36, 25, 7.81024981
vistas_00003.cimgz, 0, 155, 86, 67, 82, 72, 80, 25, 4, 5.38516474
vistas_00003.cimgz, 1, 149, 121, 71, 81, 68, 83, 9, 4, 3.60555124
vistas_00003.cimgz, 2, 155, 166, 69, 81, 67, 82, 4, 1, 2.23606801
vistas_00003.cimgz, 3, 164, 179, 68, 83, 70, 84, 4, 1, 2.23606801
vistas_00003.cimgz, 4, 148, 198, 68, 83, 79, 90, 121, 49, 13.03840446
vistas_00003.cimgz, 6, 159, 57, 213, 71, 202, 81, 121, 100, 14.86606884
vistas_00003.cimgz, 7, 136, 102, 212, 75, 212, 71, 0, 16, 4.00000000
vistas_00003.cimgz, 8, 131, 148, 212, 73, 214, 73, 4, 0, 2.00000000
vistas_00003.cimgz, 9, 148, 192, 212, 76, 212, 73, 0, 9, 3.00000000
vistas_00003.cimgz, 10, 149, 219, 213, 71, 213, 74, 0, 9, 3.00000000
vistas_00003.cimgz, 2, 158, 165, 69, 81, 67, 83, 4, 4, 2.82842708
vistas_00004.cimgz, 2, 142, 83, 139, 80, 137, 80, 4, 0, 2.00000000
vistas_00004.cimgz, 3, 130, 105, 139, 79, 138, 78, 1, 1, 1.41421354
vistas_00004.cimgz, 4, 126, 149, 138, 80, 138, 80, 0, 0, 0.00000000
vistas_00004.cimgz, 5, 125, 174, 138, 78, 139, 80, 1, 4, 2.23606801
vistas_00004.cimgz, 6, 133, 191, 140, 80, 140, 80, 0, 0, 0.00000000
vistas_00004.cimgz, 2, 149, 38, 163, 80, 167, 85, 16, 25, 6.40312433
vistas_00004.cimgz, 3, 132, 42, 163, 79, 176, 81, 169, 4, 13.15294647
vistas_00004.cimgz, 4, 124, 78, 162, 77, 175, 79, 169, 4, 13.15294647
vistas_00004.cimgz, 5, 122, 113, 164, 81, 169, 79, 25, 4, 5.38516474
vistas_00004.cimgz, 6, 137, 145, 165, 79, 164, 82, 1, 9, 3.16227770
vistas_00008.cimgz, 2, 98, 120, 107, 47, 108, 48, 1, 1, 1.41421354
vistas_00008.cimgz, 2, 89, 117, 110, 48, 110, 44, 0, 16, 4.00000000
vistas_00008.cimgz, 3, 96, 140, 106, 51, 111, 49, 25, 4, 5.38516474
vistas_00008.cimgz, 4, 103, 184, 108, 47, 105, 55, 9, 64, 8.54400349
vistas_00008.cimgz, 7, 158, 64, 243, 93, 235, 88, 64, 25, 9.43398094
vistas_00008.cimgz, 8, 171, 121, 243, 94, 236, 92, 49, 4, 7.28010988
vistas_00008.cimgz, 9, 176, 158, 241, 92, 242, 96, 1, 16, 4.12310553
vistas_00008.cimgz, 11, 172, 227, 243, 95, 247, 95, 16, 0, 4.00000000
vistas_00008.cimgz, 9, 219, 146, 243, 116, 246, 114, 9, 4, 3.60555124
vistas_00008.cimgz, 4, 165, 197, 104, 80, 103, 81, 1, 1, 1.41421354
vistas_00008.cimgz, 7, 249, 90, 215, 127, 229, 127, 196, 0, 14.00000000
vistas_00008.cimgz, 9, 250, 207, 215, 127, 213, 128, 4, 1, 2.23606801
vistas_00008.cimgz, 10, 242, 231, 216, 127, 211, 125, 25, 4, 5.38516474
vistas_00008.cimgz, 9, 233, 227, 220, 139, 206, 119, 196, 400, 24.41311073
vistas_00008.cimgz, 10, 167, 190, 239, 96, 240, 94, 1, 4, 2.23606801
vistas_00008.cimgz, 3, 170, 165, 102, 79, 102, 80, 0, 1, 1.00000000
vistas_00008.cimgz, 7, 252, 92, 215, 126, 229, 129, 196, 9, 14.31782150
vistas_00008.cimgz, 4, 152, 258, 80, 83, 72, 80, 64, 9, 8.54400349
vistas_00008.cimgz, 10, 262, 217, 247, 117, 212, 136, 1225, 361, 39.82461548
vistas_00008.cimgz, 8, 171, 119, 242, 96, 237, 92, 25, 16, 6.40312433
vistas_00000NEW.cimgz, 3, 253, 156, 113, 119, 116, 120, 9, 1, 3.16227770
vistas_00000NEW.cimgz, 3, 213, 39, 155, 102, 168, 104, 169, 4, 13.15294647
vistas_00000NEW.cimgz, 5, 259, 221, 115, 119, 106, 124, 81, 25, 10.29563046
vistas_00000NEW.cimgz, 5, 215, 91, 157, 103, 164, 105, 49, 4, 7.28010988
vistas_00001NEW.cimgz, 3, 158, 94, 138, 92, 141, 94, 9, 4, 3.60555124
vistas_00001NEW.cimgz, 11, 49, 126, 260, 59, 281, 48, 441, 121, 23.70653915
vistas_00001NEW.cimgz, 1, 190, 140, 65, 107, 64, 107, 1, 0, 1.00000000
vistas_00001NEW.cimgz, 10, 142, 148, 259, 87, 260, 87, 1, 0, 1.00000000
vistas_00002NEW.cimgz, 10, 196, 130, 234, 82, 244, 89, 100, 49, 12.20655537
vistas_00002NEW.cimgz, 9, 269, 235, 207, 105, 196, 114, 121, 81, 14.21267033
vistas_00002NEW.cimgz, 3, 206, 172, 113, 92, 113, 90, 0, 4, 2.00000000
vistas_00002NEW.cimgz, 5, 201, 211, 112, 93, 113, 94, 1, 1, 1.41421354
vistas_00003.cimgz, 2, 181, 77, 108, 90, 107, 94, 1, 16, 4.12310553
vistas_00003.cimgz, 7, 136, 101, 213, 74, 212, 71, 1, 9, 3.16227770
vistas_00003.cimgz, 3, 215, 104, 103, 107, 103, 107, 0, 0, 0.00000000
vistas_00003.cimgz, 4, 147, 181, 80, 84, 86, 90, 36, 36, 8.48528099
vistas_00004.cimgz, 3, 120, 127, 127, 73, 127, 73, 0, 0, 0.00000000
vistas_00004.cimgz, 6, 131, 193, 138, 80, 139, 79, 1, 1, 1.41421354
vistas_00004.cimgz, 9, 134, 151, 264, 78, 264, 78, 0, 0, 0.00000000
vistas_00004.cimgz, 8, 129, 93, 264, 78, 264, 78, 0, 0, 0.00000000
vistas_00005NEW.cimgz, 6, 221, 219, 140, 100, 140, 101, 0, 1, 1.00000000
vistas_00005NEW.cimgz, 4, 201, 156, 141, 99, 142, 99, 1, 0, 1.00000000
vistas_00005NEW.cimgz, 9, 237, 62, 227, 120, 234, 121, 49, 1, 7.07106781
vistas_00005NEW.cimgz, 11, 268, 257, 229, 120, 223, 118, 36, 4, 6.32455540
vistas_00006NEW.cimgz, 3, 169, 152, 107, 95, 109, 95, 4, 0, 2.00000000
vistas_00006NEW.cimgz, 5, 154, 211, 99, 83, 102, 82, 9, 1, 3.16227770
vistas_00006NEW.cimgz, 11, 134, 175, 229, 84, 230, 87, 1, 9, 3.16227770
vistas_00006NEW.cimgz, 2, 214, 188, 84, 107, 83, 110, 1, 9, 3.16227770
vistas_00007.cimgz, 2, 127, 101, 109, 95, 110, 97, 1, 4, 2.23606801
vistas_00007.cimgz, 9, 124, 148, 238, 75, 242, 71, 16, 16, 5.65685415
vistas_00007.cimgz, 1, 158, 99, 84, 106, 87, 107, 9, 1, 3.16227770
vistas_00007.cimgz, 3, 121, 89, 127, 92, 130, 95, 9, 9, 4.24264050
vistas_00008.cimgz, 3, 294, 174, 103, 127, 101, 147, 4, 400, 20.09975052
vistas_00008.cimgz, 3, 98, 142, 109, 47, 110, 50, 1, 9, 3.16227770
vistas_00008.cimgz, 9, 173, 158, 243, 94, 242, 95, 1, 1, 1.41421354
vistas_00008.cimgz, 10, 238, 228, 214, 126, 214, 123, 0, 9, 3.00000000
vistas_00009NEW.cimgz, 2, 183, 100, 125, 97, 123, 98, 4, 1, 2.23606801
vistas_00009NEW.cimgz, 8, 181, 147, 224, 106, 224, 107, 0, 1, 1.00000000
vistas_00009NEW.cimgz, 11, 160, 159, 252, 98, 254, 97, 4, 1, 2.23606801
vistas_00009NEW.cimgz, 11, 194, 157, 254, 111, 256, 112, 4, 1, 2.23606801
vistas_00010.cimgz, 9, 169, 174, 218, 86, 217, 84, 1, 4, 2.23606801
vistas_00010.cimgz, 4, 168, 246, 86, 79, 81, 82, 25, 9, 5.83095169
vistas_00010.cimgz, 2, 182, 204, 82, 90, 78, 91, 16, 1, 4.12310553
vistas_00010.cimgz, 8, 153, 125, 216, 77, 215, 78, 1, 1, 1.41421354
